# newdoc id = bar_tweet_1423882194175541249
# sent_id = bar_tweet_1423882194175541249-1
# text = ________________ ____ _____ _ _______________________
________________	O	O	O
____	O	O	O
_____	O	O	O
_	O	O	O
_______________________	O	O	O

# newdoc id = bar_tweet_1535261106981191681
# sent_id = bar_tweet_1535261106981191681-1
# text = __ _____ _______ ______ ____ ______ _______ ____ __ ____ _
__	O	O	O
_____	O	O	O
_______	O	O	O
______	O	O	O
____	O	O	O
______	O	O	O
_______	O	O	O
____	O	O	O
__	O	O	O
____	O	O	O
_	O	O	O

# sent_id = bar_tweet_1535261106981191681-2
# text = ___ ______ __ ______________ _ ____ _ _________ ____ _ _______________
___	O	O	O
______	O	O	O
__	O	O	O
______________	O	O	O
_	O	O	O
____	O	O	O
_	O	O	O
_________	O	O	O
____	O	O	O
_	O	O	O
_______________	O	O	O

# newdoc id = bar_tweet_1659982105563000832
# sent_id = bar_tweet_1659982105563000832-1
# text = ______ __ __ _____ _____ ___ ____ _
______	O	O	O
__	O	O	O
__	O	O	O
_____	O	O	O
_____	O	O	O
___	O	O	O
____	O	O	O
_	O	O	O

# sent_id = bar_tweet_1659982105563000832-2
# text = _ ______ _____________ ____ _____ ____ ____ _ ___ __ ____________ ___ __ __________ ____ _
_	O	O	O
______	O	O	O
_____________	O	O	O
____	O	O	O
_____	O	O	O
____	O	O	O
____	O	O	O
_	O	O	O
___	O	O	O
__	O	O	O
____________	O	O	O
___	O	O	O
__	O	O	O
__________	O	O	O
____	O	O	O
_	O	O	O

# sent_id = bar_tweet_1659982105563000832-3
# text = ___ ___ __ ___ ____ _
___	O	O	O
___	O	O	O
__	O	O	O
___	O	O	O
____	O	O	O
_	O	O	O

# sent_id = bar_tweet_1659982105563000832-4
# text = __ ____ ______ _ ___ ___ __ ___ _ _
__	O	O	O
____	O	O	O
______	O	O	O
_	O	O	O
___	O	O	O
___	O	O	O
__	O	O	O
___	O	O	O
_	O	O	O
_	O	O	O

# newdoc id = bar_tweet_1656770925650477057
# sent_id = bar_tweet_1656770925650477057-1
