# newdoc id = bar_tweet_328884802419822592
# sent_id = bar_tweet_328884802419822592-1
# text = _ ___
_	O	O
___	O	O

# sent_id = bar_tweet_328884802419822592-2
# text = _______ _ ____ ___ ___ ___ ___ _ ___
_______	O	O
_	O	O
____	O	O
___	O	O
___	O	O
___	O	O
___	O	O
_	O	O
___	O	O

# sent_id = bar_tweet_328884802419822592-3
# text = _______ _ _____ ____ ______ _ ______________________
_______	O	O
_	O	O
_____	O	O
____	B-ORG	O
______	I-ORG	O
_	O	O
______________________	O	O

# newdoc id = bar_tweet_1652338371367190528
# sent_id = bar_tweet_1652338371367190528-1
# text = _ _____ ____ ____ _ _____________ _____ __ ______ ___ _
_	O	O
_____	O	O
____	O	O
____	O	O
_	O	O
__	O	O
___________	O	O
_____	O	O
__	O	O
______	O	O
___	O	O
_	O	O

# sent_id = bar_tweet_1652338371367190528-2
# text = _ ______ ____ _ _ _____ ____ ___ __ _________ _____ ____ ______ _
_	O	O
______	O	O
____	O	O
_	O	O
_	O	O
_____	O	O
____	O	O
___	O	O
__	O	O
_________	O	O
_____	O	O
____	O	O
______	O	O
_	O	O

# newdoc id = bar_tweet_1653436858263535628
# sent_id = bar_tweet_1653436858263535628-1
# text = _____ _____ ___ _____ __
_____	O	O
_____	O	O
___	O	O
_____	O	O
__	O	O

# newdoc id = bar_tweet_1634251216937951237
# sent_id = bar_tweet_1634251216937951237-1
# text = _______ __________ ______ _
_______	O	O
__________	O	O
______	O	O
_	O	O

# sent_id = bar_tweet_1634251216937951237-2
# text = ___ __ ________ ____ _ _
___	O	O
__	O	O
________	O	O
____	O	O
_	O	O
_	O	O

# sent_id = bar_tweet_1634251216937951237-3
# text = _ _____ ___ __ ______ _ ___ _ _ _ ___ __________ ___ ___ _ _ ___ ___ ______ _ _____ _ ___ _____ ____ ___ _ _ _ ___ ________ _ __ ___ _ __ ___ _______ ___ ___ _ __ ____ _____ _ _
_	O	O
_____	O	O
___	O	O
__	O	O
______	O	O
_	O	O
___	O	O
_	O	O
_	O	O
_	O	O
___	O	O
__________	B-RELIGIONderiv	B-RELIGIONderiv
___	O	O
___	O	O
_	O	O
_	O	O
___	O	O
___	O	O
______	O	O
_	O	O
_____	O	O
_	O	O
___	O	O
_____	O	O
____	O	O
___	O	O
_	O	O
_	O	O
_	O	O
___	O	O
________	B-ORG	B-ORG
_	O	O
__	O	O
___	O	O
_	O	O
__	O	O
___	B-PER	B-PER
_______	I-PER	I-PER
___	O	O
___	O	O
_	O	O
__	O	O
____	O	O
_____	O	O
_	O	O
_	O	O

# newdoc id = bar_tweet_1646620641452343296
# sent_id = bar_tweet_1646620641452343296-1
# text = _____________ ____ __ ______ __ __________ _ ____ _ ___ ___ ______ _______ _ __ ___ __ __________ _______ _ __ __ ______ ___________ _ ____ ____ ______ __ ______ ______ __ _ _
_____________	O	O
____	O	O
__	B-ORG	O
______	I-ORG	B-ORG
__	O	O
__________	O	O
_	O	O
____	O	O
_	O	O
___	O	O
___	O	O
______	O	O
_______	O	O
_	O	O
__	O	O
___	O	O
__	O	O
__________	O	O
_______	O	O
_	O	O
__	O	O
__	O	O
______	O	O
___________	O	O
_	O	O
____	O	O
____	O	O
______	O	O
__	O	O
______	O	O
______	O	O
__	O	O
_	O	O
_	O	O

# newdoc id = bar_tweet_1432963261033553921
# sent_id = bar_tweet_1432963261033553921-1
# text = ________ __ _______ __ ___ ________ __________ ____ ___ _______ _
________	O	O
__	O	O
_______	O	O
__	O	O
___	O	O
________	O	O
__________	O	O
____	O	O
___	O	O
_______	O	O
_	O	O

# sent_id = bar_tweet_1432963261033553921-2
# text = ___ ______ __ ____ ____________ ____________ _____ ________ ____________ __ ___ ___________ ____ _
___	O	O
______	O	O
__	O	O
____	O	O
____________	O	O
____________	O	O
_____	O	O
________	O	O
____________	O	O
__	O	O
___	O	O
___________	O	O
____	O	O
_	O	O

# newdoc id = bar_tweet_1150424303021776897
# sent_id = bar_tweet_1150424303021776897-1
# text = _____________ __________ _____ __________ _______ ________ ________ _________ _____ _______ ______ _________ ________________ ______ ______ _____________________ ________ ________ _______________________
_____________	B-LOCpart	B-LOCpart
__________	B-WOA	B-WOA
_____	B-LOC	B-LOC
__________	O	O
_______	B-LOC	B-LOC
________	B-LOC	B-LOC
________	B-LOC	B-LOC
_________	O	O
_____	O	O
_______	O	O
______	O	O
_________	B-WOA	B-WOA
________________	B-PER	B-PER
______	O	O
______	O	O
_____________________	O	O
________	O	O
________	O	O
_______________________	O	O

# newdoc id = bar_tweet_1587707455982764032
# sent_id = bar_tweet_1587707455982764032-1
# text = _____________ _______ _______ ___ _______ _ __ ___ ________________ _____ _____ ________ _
_____________	O	O
_______	O	O
_______	O	O
___	O	O
_______	O	O
_	O	O
__	O	O
___	O	O
________________	O	O
_____	O	O
_____	O	O
________	O	O
_	O	O

# newdoc id = bar_tweet_1541494932724236289
# sent_id = bar_tweet_1541494932724236289-1
# text = ____________ _________ _______________ ___ _
____________	O	O
_________	O	O
_______________	O	O
___	O	O
_	O	O

# sent_id = bar_tweet_1541494932724236289-2
# text = ___ ___ __ _
___	O	O
___	O	O
__	O	O
_	O	O

# sent_id = bar_tweet_1541494932724236289-3
# text = __ ___ ____ __ ___ ____ _ ___ _ _____ _ __ ____ _ ____ _____ _ _ _________ _
__	O	O
___	O	O
____	O	O
__	O	O
___	O	O
____	B-PER	B-PER
_	O	O
___	B-PER	O
_	O	O
_____	O	O
_	O	O
__	O	O
____	O	O
_	O	O
____	O	O
_____	O	O
_	O	O
_	O	O
_________	O	O
_	O	O

# newdoc id = bar_tweet_1621548239542534144
# sent_id = bar_tweet_1621548239542534144-1
# text = ______ __ _________ ____ ______ ________ __ ________ __ _ _____________ __ _______ ___ ___ ______ ___ ______ _
______	O	O
__	O	O
_________	B-LOC	B-LOC
____	I-LOC	I-LOC
______	O	O
________	O	O
__	O	O
________	O	O
__	O	O
_	O	O
_____________	O	O
__	O	O
__	O	O
_____	B-LOC	B-LOC
___	O	O
___	O	O
______	O	O
___	O	O
______	O	O
_	O	O

# sent_id = bar_tweet_1621548239542534144-2
# text = _______________ ___________ __ ___ __________ ___ _____________ _ ____ _____ __ ________
_______________	O	O
___________	O	O
__	O	O
___	O	O
__________	B-LOC	B-LOC
___	O	O
_____________	B-LOC	B-LOC
_	O	O
____	O	O
_____	O	O
__	O	O
________	B-LOC	B-LOC

# newdoc id = bar_tweet_1642763361447190528
# sent_id = bar_tweet_1642763361447190528-1
# text = ____ ___ _ _ _ _ _ _ _ _ ____ _____ _______________________
____	O	O
___	O	O
_	O	O
_	O	O
_	O	O
_	O	O
_	O	O
_	O	O
_	O	O
_	O	O
____	O	O
_____	O	O
_______________________	O	O

# newdoc id = bar_tweet_1660666705864019975
# sent_id = bar_tweet_1660666705864019975-1
