# newdoc id = bar_wiki_Dochau
# sent_id = bar_wiki_Dochau-1
# text = Dochau
Dochau	B-LOC	B-LOC	B-LOC

# sent_id = bar_wiki_Dochau-2
# text = Dochau ( amtli : Dachau ) is a Grouße Kroasstod in Obabayern nordwestli vo Minga und liagt im gleichnoming Landkroas .
Dochau	B-LOC	B-LOC	B-LOC
(	O	O	O
amtli	O	O	O
:	O	O	O
Dachau	B-LOC	B-LOC	B-LOC
)	O	O	O
is	O	O	O
a	O	O	O
Grouße	O	O	O
Kroasstod	O	O	O
in	O	O	O
Obabayern	B-LOC	B-LOC	B-LOC
nordwestli	O	O	O
vo	O	O	O
Minga	B-LOC	B-LOC	B-LOC
und	O	O	O
liagt	O	O	O
im	O	O	O
gleichnoming	O	O	O
Landkroas	O	O	O
.	O	O	O

# sent_id = bar_wiki_Dochau-3
# text = Mit 46.705 Eihwohna ( 2015 ) is de gresste Stod im Mingara Umland .
Mit	O	O	O
46.705	O	O	O
Eihwohna	O	O	O
(	O	O	O
2015	O	O	O
)	O	O	O
is	O	O	O
de	O	O	O
gresste	O	O	O
Stod	O	O	O
im	O	O	O
Mingara	B-LOCderiv	B-LOCderiv	B-LOCderiv
Umland	O	O	O
.	O	O	O

# sent_id = bar_wiki_Dochau-4
# text = Dochau ligt 18 Kilometa noadwestli von Minga auf 482 m an der Amper .
Dochau	B-LOC	B-LOC	B-LOC
ligt	O	O	O
18	O	O	O
Kilometa	O	O	O
noadwestli	O	O	O
von	O	O	O
Minga	B-LOC	B-LOC	B-LOC
auf	O	O	O
482	O	O	O
m	O	O	O
an	O	O	O
der	O	O	O
Amper	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Dochau-5
# text = De Stod liegt an da Nodstein zwischen dem Urstromtal vo da Amper und da Endmoränenlondschaft aus da letzn Eiszeit .
De	O	O	O
Stod	O	O	O
liegt	O	O	O
an	O	O	O
da	O	O	O
Nodstein	O	B-MISC	B-MISC
zwischen	O	O	O
dem	O	O	O
Urstromtal	O	O	O
vo	O	O	O
da	O	O	O
Amper	B-LOC	B-LOC	B-LOC
und	O	O	O
da	O	O	O
Endmoränenlondschaft	O	O	O
aus	O	O	O
da	O	O	O
letzn	O	O	O
Eiszeit	O	B-MISC	B-MISC
.	O	O	O

# sent_id = bar_wiki_Dochau-6
# text = Am hechstn is Dachau am Schlossbeag und da diafste Punkt ist bei Prittlbach .
Am	O	O	O
hechstn	O	O	O
is	O	O	O
Dachau	B-LOC	B-LOC	B-LOC
am	O	O	O
Schlossbeag	B-LOC	B-LOC	B-LOC
und	O	O	O
da	O	O	O
diafste	O	O	O
Punkt	O	O	O
ist	O	O	O
bei	O	O	O
Prittlbach	B-LOC	B-LOC	B-LOC
.	O	O	O

# sent_id = bar_wiki_Dochau-7
# text = Dochau grenzt an a mehrare ondere Gmoana .
Dochau	B-LOC	B-LOC	B-LOC
grenzt	O	O	O
an	O	O	O
a	O	O	O
mehrare	O	O	O
ondere	O	O	O
Gmoana	O	O	O
.	O	O	O

# sent_id = bar_wiki_Dochau-8
# text = Im Sidn on Karlsfejd , im Ostn on Oberschleissheim , wos scho zum Landkroas Minga gheat , im Noadostn on Hebazausn , im Noadn on Reamoos und im Westn on Beagkiacha .
Im	O	O	O
Sidn	O	O	O
on	O	O	O
Karlsfejd	B-LOC	B-LOC	B-LOC
,	O	O	O
im	O	O	O
Ostn	O	O	O
on	O	O	O
Oberschleissheim	B-LOC	B-LOC	B-LOC
,	O	O	O
wos	O	O	O
scho	O	O	O
zum	O	O	O
Landkroas	B-LOC	B-LOC	B-LOC
Minga	I-LOC	I-LOC	I-LOC
gheat	O	O	O
,	O	O	O
im	O	O	O
Noadostn	O	O	O
on	O	O	O
Hebazausn	B-LOC	B-LOC	B-LOC
,	O	O	O
im	O	O	O
Noadn	O	O	O
on	O	O	O
Reamoos	B-LOC	B-LOC	B-LOC
und	O	O	O
im	O	O	O
Westn	O	O	O
