# newdoc id = bar_wiki_Oberösterreichische-Nachrichten
# sent_id = bar_wiki_Oberösterreichische-Nachrichten-1
# text = Oberösterreichische Nachrichten
Oberösterreichische	B-ORG	B-ORG
Nachrichten	I-ORG	I-ORG

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-2
# text = De Oberösterreichische Nachrichten is a iwaregionale Togeszeidung mit Sitz in Linz .
De	O	O
Oberösterreichische	B-ORG	B-ORG
Nachrichten	I-ORG	I-ORG
is	O	O
a	O	O
iwaregionale	O	O
Togeszeidung	O	O
mit	O	O
Sitz	O	O
in	O	O
Linz	B-LOC	B-LOC
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-3
# text = De Zeidung hod 5 Haubtredakzionen ( Rubrikn ) : Politik , Wiatschoft , Sport , Kuitua , Laund & Leid und mid am Lokalteu .
De	O	O
Zeidung	O	O
hod	O	O
5	O	O
Haubtredakzionen	O	O
(	O	O
Rubrikn	O	O
)	O	O
:	O	O
Politik	O	O
,	O	O
Wiatschoft	O	O
,	O	O
Sport	O	O
,	O	O
Kuitua	O	O
,	O	O
Laund	O	O
&	O	O
Leid	O	O
und	O	O
mid	O	O
am	O	O
Lokalteu	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-4
# text = Vom Lokalteu gibts 6 vaschiedane Versionan in 6 Regionan vo Owaösterreich .
Vom	O	O
Lokalteu	O	O
gibts	O	O
6	O	O
vaschiedane	O	O
Versionan	O	O
in	O	O
6	O	O
Regionan	O	O
vo	O	O
Owaösterreich	B-LOC	B-LOC
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-5
# text = De Oberösterreichischn Nachrichten san ane da Wenign östareichischn Togeszeidungan de se ned zweng ana Auflognschteigarung em Boulevard vaschriebm hom.
De	O	O
Oberösterreichischn	B-ORG	B-ORG
Nachrichten	I-ORG	I-ORG
san	O	O
ane	O	O
da	O	O
Wenign	O	O
östareichischn	B-LOCderiv	B-LOCderiv
Togeszeidungan	O	O
de	O	O
se	O	O
ned	O	O
zweng	O	O
ana	O	O
Auflognschteigarung	O	O
em	O	O
Boulevard	O	O
vaschriebm	O	O
hom.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-6
# text = De Gschicht vo da Zeidung :
De	O	O
Gschicht	O	O
vo	O	O
da	O	O
Zeidung	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-7
# text = 1843 :
1843	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-8
# text = Da Buachdrucka " Josef Wimmer " ( 1808 - 1894 ) hod am 19 Oktowa 1843 vo sein vaschtuama Eheweiwal " Franziska " ( a friare " Weinmayr Witdibin " ) de Druckarei und des Haisl Herrnschtroßn 6 in Linz iwanumma .
Da	O	O
Buachdrucka	O	O
"	O	O
Josef	B-PER	B-PER
Wimmer	I-PER	I-PER
"	O	O
(	O	O
1808	O	O
-	O	O
1894	O	O
)	O	O
hod	O	O
am	O	O
19	O	O
Oktowa	O	O
1843	O	O
vo	O	O
sein	O	O
vaschtuama	O	O
Eheweiwal	O	O
"	O	O
Franziska	B-PER	B-PER
"	O	O
(	O	O
a	O	O
friare	O	O
"	O	O
Weinmayr	B-PER	B-PER
Witdibin	O	O
"	O	O
)	O	O
de	O	O
Druckarei	O	O
und	O	O
des	O	O
Haisl	O	O
Herrnschtroßn	B-LOC	B-LOC
6	O	O
in	O	O
Linz	B-LOC	B-LOC
iwanumma	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-9
# text = 1845 :
1845	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-10
# text = Am 5 Mai hod da Josef Wimmer nuamoi gheirat .
Am	O	O
5	O	O
Mai	O	O
hod	O	O
da	O	O
Josef	B-PER	B-PER
Wimmer	I-PER	I-PER
nuamoi	O	O
gheirat	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-11
# text = Sei Ehefrau woa de " Antonia Kamptner " und de hod a ausehnlige Midgift in de Ehe eibrocht und mid Dera hod se de finanziöe Situazion vo da Druckarei schtoak bessad .
Sei	O	O
Ehefrau	O	O
woa	O	O
de	O	O
"	O	O
Antonia	B-PER	B-PER
Kamptner	I-PER	I-PER
"	O	O
und	O	O
de	O	O
hod	O	O
a	O	O
ausehnlige	O	O
Midgift	O	O
in	O	O
de	O	O
Ehe	O	O
eibrocht	O	O
und	O	O
mid	O	O
Dera	O	O
hod	O	O
se	O	O
de	O	O
finanziöe	O	O
Situazion	O	O
vo	O	O
da	O	O
Druckarei	O	O
schtoak	O	O
bessad	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-12
# text = 1847 hod ma fia de Druckarei a modeane " Schnöpreß " augschoft .
1847	O	O
hod	O	O
ma	O	O
fia	O	O
de	O	O
Druckarei	O	O
a	O	O
modeane	O	O
"	O	O
Schnöpreß	O	O
"	O	O
augschoft	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-13
# text = 1848 : Des woa des Joah da " Voamäarzrevoluzion " .
1848	O	O
:	O	O
Des	O	O
woa	O	O
des	O	O
Joah	O	O
da	O	O
"	O	O
Voamäarzrevoluzion	B-EVENT	B-EVENT
"	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-14
# text = In da Druckarei hod ma de Woihlistn druckt , fia den Frankfurta Reichstog in da " Paulikiacha " .
In	O	O
da	O	O
Druckarei	O	O
hod	O	O
ma	O	O
de	O	O
Woihlistn	O	O
druckt	O	O
,	O	O
fia	O	O
den	O	O
Frankfurta	B-LOC	B-LOC
Reichstog	I-LOC	I-LOC
in	O	O
da	O	O
"	O	O
Paulikiacha	B-LOC	B-LOC
"	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-15
# text = 1850 :
1850	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-16
# text = Da Kundnkroas vo da Druckarei Wimmer is gach greßa wuan .
Da	O	O
Kundnkroas	O	O
vo	O	O
da	O	O
Druckarei	B-ORG	B-ORG
Wimmer	I-ORG	I-ORG
is	O	O
gach	O	O
greßa	O	O
wuan	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-17
# text = Es san a de Schtootsbuachhoitung und de Polizeidirekzion ( a mid de Schteckbriaf ) zan Kundnkroas dazuakemma .
Es	O	O
san	O	O
a	O	O
de	O	O
Schtootsbuachhoitung	O	O
und	O	O
de	O	O
Polizeidirekzion	O	O
(	O	O
a	O	O
mid	O	O
de	O	O
Schteckbriaf	O	O
)	O	O
zan	O	O
Kundnkroas	O	O
dazuakemma	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-18
# text = Owa a mera Aumta und de Rentnvawoitung .
Owa	O	O
a	O	O
mera	O	O
Aumta	O	O
und	O	O
de	O	O
Rentnvawoitung	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-19
# text = Dahea hod ma den Maschinanpark oiweu vagreßad .
Dahea	O	O
hod	O	O
ma	O	O
den	O	O
Maschinanpark	O	O
oiweu	O	O
vagreßad	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-20
# text = 1860 :
1860	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-21
# text = Weu in Wean de Schtootsdruckarei oiweu mera Druckseitn , a fia de Lända , sowa druckt hod , san de Afträg bei de Druckareian a in Linz eibrocha .
Weu	O	O
in	O	O
Wean	B-LOC	B-LOC
de	O	O
Schtootsdruckarei	O	O
oiweu	O	O
mera	O	O
Druckseitn	O	O
,	O	O
a	O	O
fia	O	O
de	O	O
Lända	O	O
,	O	O
sowa	O	O
druckt	O	O
hod	O	O
,	O	O
san	O	O
de	O	O
Afträg	O	O
bei	O	O
de	O	O
Druckareian	O	O
a	O	O
in	O	O
Linz	B-LOC	B-LOC
eibrocha	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-22
# text = 1861 :
1861	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-23
# text = Da " Kaisa Franz Josef " hod offiziä des " Eazheazogtum Owaöstareich ob da Enns " zan eignschtendign Kronlaund eahobm .
Da	O	O
"	O	O
Kaisa	O	O
Franz	B-PER	B-PER
Josef	I-PER	I-PER
"	O	O
hod	O	O
offiziä	O	O
des	O	O
"	O	O
Eazheazogtum	B-ORG	B-ORG
Owaöstareich	I-ORG	I-ORG
ob	I-ORG	I-ORG
da	I-ORG	I-ORG
Enns	I-ORG	I-ORG
"	O	O
zan	O	O
eignschtendign	O	O
Kronlaund	O	O
eahobm	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-24
# text = Es is a da easchte Laundtog gwöht wuan .
Es	O	O
is	O	O
a	O	O
da	O	O
easchte	O	O
Laundtog	O	O
gwöht	O	O
wuan	O	O
.	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-25
# text = 1863 :
1863	O	O
:	O	O

# sent_id = bar_wiki_Oberösterreichische-Nachrichten-26
# text = Am easchtn August hod da " Josef Wimmer " nebm dem Betrieb a kloans Goatngrundschtickl mid umma 38 Quadratklafter ( des san eppa 72 m² ) dazuakaft , fian an Ausbau vo da Druckarei .
Am	O	O
easchtn	O	O
August	O	O
hod	O	O
da	O	O
"	O	O
Josef	B-PER	B-PER
Wimmer	I-PER	I-PER
"	O	O
nebm	O	O
dem	O	O
Betrieb	O	O
a	O	O
kloans	O	O
Goatngrundschtickl	O	O
